AssessmentID,CandidateID,EventDate,Caption,Assessment_Type,Assessment_Duration,Vendor,Outcome,Overall_Score,Detail_URL,Cost
Assessment-5249,Candidate-180443,2017-08-21,Select International - Jedediah Benitez - IT:Hire IT Infrastructure Specialist - North America : Requisition-1110,PPQ,12,Select International,Success,61.63111533354331,https://www.selectinternational.com/id?Candidate-180443,20.0
Assessment-5250,Candidate-180391,2017-08-21,Select International - Caden Partridge - IT:Hire Information Security Specialist - North America : Requisition-1166,PPQ,12,Select International,Success,95.09827721058744,https://www.selectinternational.com/id?Candidate-180391,20.0
Assessment-5251,Candidate-180388,2017-08-21,Select International - Brecken Spence - Marketing:Hire Senior Marketing Specialist - North America : Requisition-1171,PPQ,36,Select International,Success,88.14585063181693,https://www.selectinternational.com/id?Candidate-180388,20.0
Assessment-5252,Candidate-180388,2017-08-21,Select Intenational - Brecken Spence - Marketing:Hire Senior Marketing Specialist - North America : Requisition-1171,Strengths Inventory,48,Select Intenational,Success,66.86452176861224,https://www.selectinternational.com/id?Candidate-180388,20.0
Assessment-5253,Candidate-180378,2017-08-21,Select International - Blake Longoria - HR:Hire Talent Management Manager - North America : Requisition-1183,PPQ,24,Select International,Success,110.6479461978931,https://bluesphere.cultureamp.com/?Candidate-180378,20.0
Assessment-5254,Candidate-180378,2017-08-21,Select International - Blake Longoria - HR:Hire Talent Management Manager - North America : Requisition-1183,Strengths Inventory,84,Select International,Success,70.04844542773353,https://www.selectinternational.com/id?Candidate-180378,20.0
Assessment-5255,Candidate-180364,2017-08-21,Select International - Clover Jimenez - IT:Hire IT Infrastructure Specialist - North America : Requisition-1201,PPQ,12,Select International,Success,71.51955205191149,https://www.selectinternational.com/id?Candidate-180364,20.0
Assessment-5256,Candidate-180362,2017-08-21,Select International - Rod Chang - IT:Hire IT Project Analyst - North America : Requisition-1202,PPQ,12,Select International,Success,64.21154241099308,https://www.selectinternational.com/id?Candidate-180362,20.0
Assessment-5257,Candidate-180348,2017-08-21,CEG - Erika Ruiz - Operations:Hire Plant Supervisor - North America : Requisition-1222,Project Manager Assessment,24,CEG,Success,90.25018800277138,https://www.corpedgroup.com/id=?Candidate-180348,100.0
Assessment-5258,Candidate-180348,2017-08-21,Select International - Erika Ruiz - Operations:Hire Plant Supervisor - North America : Requisition-1222,PPQ,24,Select International,Success,63.21207815834673,https://use.plum.io/assessments?Candidate-180348,20.0
Assessment-5259,Candidate-180348,2017-08-21,Select International - Erika Ruiz - Operations:Hire Plant Supervisor - North America : Requisition-1222,Strengths Inventory,36,Select International,Success,60.0,https://www.selectinternational.com/id?Candidate-180348,20.0
Assessment-5260,Candidate-180344,2017-08-21,Select International - Hana Hernandez - Marketing:Hire Marketing Specialist - APAC : Requisition-1223,PPQ,36,Select International,Success,100.9318617521018,https://www.selectinternational.com/id?Candidate-180344,20.0
Assessment-5261,Candidate-180344,2017-08-21,Select Intenational - Hana Hernandez - Marketing:Hire Marketing Specialist - APAC : Requisition-1223,Strengths Inventory,48,Select Intenational,Success,60.0,https://www.selectinternational.com/id?Candidate-180344,20.0
Assessment-5262,Candidate-180343,2017-08-21,Select International - Destinee Hawk - Marketing:Hire Marketing Specialist - APAC : Requisition-1223,PPQ,36,Select International,Success,60.0,https://www.selectinternational.com/id?Candidate-180343,20.0
